"Coup_lag_max" "Lag" "max_evi2" "mean_evi2" "sd_evi2" "tree_cover_wet" "tree_cover_dry" "tree_cover_hansen" "phenology" "twi" "freq_fire" "Vegetation_type"
"IS1" 0.18546365914787 2 0.659631192684174 0.357122441762022 0.158981302223155 42.84 NA 28 NA 9.57246 5 "savanna"
"IS2" 0.193265993265993 4 0.652065813541412 0.348035778667321 0.150986277869683 21.42 NA 29 NA 8.0419 6 "savanna"
"IS5" 0.235329703569268 2 0.658670604228973 0.34887335697636 0.148299645986282 14.79 30.16 1 -15.37 9.77368 3 "savanna"
"ES1" 0.163636363636364 4 0.747034251689911 0.397612895303164 0.181550142261493 7.14 26.26 9 -19.12 8.60261 7 "savanna"
"ES3" -0.210169491525424 0 0.684444725513458 0.366450791887408 0.162080995217469 3.6312 23.27 28 -19.6388 8.50546 7 "savanna"
"ES4" 0.171717171717172 4 0.794251322746277 0.420720274806986 0.175941442206464 68.34 63.83 44 4.51000000000001 7.69954 5 "savanna"
"BS1" 0.177253478523896 3 0.653378009796143 0.34496793033534 0.154266915403674 4.59 7.93 0 -3.34 8.59316 6 "savanna"
"BS2" 0.185185185185185 3 0.714524984359741 0.372823670097978 0.163140848007603 6.63 16.185 28 -9.555 8.71555 4 "savanna"
"MS1" 0.223376623376623 3 0.778581417207308 0.378518077018553 0.198594076975604 16.83 17.16 32 -0.330000000000002 9.33497 10 "savanna"
"MS2" 0.201298701298701 3 0.706407426078189 0.368451774349055 0.175382788710512 27.03 22.62 29 4.41 10.10562 9 "savanna"
"IC3" -0.319696084161309 1 0.851720213890076 0.476815101850659 0.217626299042767 86.7 92.56 70 -5.86 15.47934 1 "gallery forest"
"EC2" -0.289473684210526 1 0.972738683223724 0.5213510953105 0.248657926274826 99.45 NA 47 NA 15.54112 1 "gallery forest"
"EC3" -0.223230490018149 1 0.872993812862246 0.444875594574715 0.211700277021658 96.39 NA 44 NA 15.16976 1 "gallery forest"
"BC1" -0.24937343358396 1 0.95628821849823 0.537566338530797 0.265102585478032 94.28 93.31 74 0.969999999999999 15.80055 3 "gallery forest"
"BC2" -0.215538847117794 1 0.913648724555969 0.523726131711328 0.249183210537816 97.92 NA 59 NA 6.28304 3 "gallery forest"
"BQ8" -0.277615429573349 1 0.858064889907837 0.491507125060958 0.235310630968123 94.02 90.62 74 3.39999999999999 17.99099 8 "gallery forest"
"RC1" -0.20864991233197 0 0.779608280217803 0.418977971038552 0.199134719850738 96.88 94.31 44 2.56999999999999 21.7668 3 "gallery forest"
"RC2" -0.28361581920904 0 0.888557964898613 0.502987360289854 0.254838280770322 92.98 94.31 51 -1.33 21.7668 3 "gallery forest"
"RC3" -0.265536723163842 0 0.803901612758636 0.467473264524711 0.234631769674047 95.06 94.56 49 0.5 13.83179 3 "gallery forest"
"MC1" -0.300993571011105 0 0.846177879608415 0.523158003855688 0.251527496051344 84.66 94.93 66 -10.27 8.68463 3 "gallery forest"
"SR1" 0.441016333938294 2 1.06904244422913 0.486031430977625 0.261511547384262 74.5 NA NA NA 6.98991 2 "dry forest"
"SD1" 0.433756805807623 1 0.973766803741455 0.506850036943792 0.238752164585677 72.43 28.34 55 44.09 7.10205 0 "dry forest"
"SD2" 0.536600120992136 1 0.98518842458725 0.463378726611185 0.252954607649257 74.43 23.075 51 51.355 6.80751 0 "dry forest"
"SD3" 0.47610405323654 1 0.951275110244751 0.469860785670875 0.226275116803864 81.18 18.46 50 62.72 6.71679 0 "dry forest"
"SS1" 0.209921355111918 2 0.963789165019989 0.565884469220338 0.229058339171949 NA 77.935 84 NA 7.17428 0 "dry forest"
"SS2" 0.161524500907441 2 1.11400939585806 0.571700777306717 0.257146885633963 NA 72.28 98 NA 6.8683 0 "dry forest"
"SS3" 0.214761040532365 2 1.17084002494812 0.589699902232883 0.268388303625892 NA 55.705 75 NA 5.46798 0 "dry forest"
"SG1" 0.5406195207481 1 1.08368396759033 0.507116259229953 0.266641407278539 67.75 20.54 51 47.21 6.03047 0 "dry forest"
"SP1" 0.336963097398669 1 1.02848660945892 0.526685924089369 0.229914947120838 78.12 39.65 55 38.47 10.88536 0 "dry forest"
"SP2" 0.369959088252484 1 0.943141102790833 0.498838249291768 0.217144721867005 73.68 19.5 52 54.18 6.56497 0 "dry forest"
