"Plot" "Areia_Grossa" "Areia_Fina" "Silte" "Argila" "Classificação" "Tipo_de_solo" "pH_H2O" "P" "K" "Ca2." "Mg2." "Exchan_Al3" "Potential_acidity" "SB" "cation_exch_capacity" "T" "Base_saturation_index" "Al_saturation_index" "P_Rem" "Cu" "Mn" "Fe" "Zn" "N"
"IS1" "IS1" 0.152 0.119 0.121 0.609 "Muito_Argilosa" 3 5 1 40 0.16 0.07 0.77 12.3 0.33 1.1 12.63 2.6 70 11.1 0.16 2.2 95.8 0.86 0.25
"IS2" "IS2" 0.368 0.474 0.039 0.118 "Areia_Franca" 1 4.83 1.2 16 0.17 0.05 1.26 7.7 0.26 1.52 7.96 3.3 82.9 27.6 0.12 1.2 52.8 0.53 0.086
"IS5" "IS5" 0.1 0.396 0.071 0.433 "Argilo_Arenosa" 3 4.66 3.7 24 0.1 0.06 1.16 11 0.22 1.38 11.22 2 84.1 10.2 0.5 1.6 100.9 0.58 0.214
"ES1" "ES1" 0.272 0.281 0.052 0.394 "Argilo_Arenosa" 3 4.98 1.7 40 0.18 0.11 1.16 10.1 0.39 1.55 10.49 3.7 74.8 14.2 0.13 2.7 128.8 0.66 0.157
"ES3" "ES3" 0.396 0.228 0.04 0.336 "Franco_Argilo_Arenosa" 2 4.9 0.9 26 0.07 0.08 0.97 10.9 0.22 1.19 11.12 2 81.5 14.2 0.13 1 121.3 0.51 0.117
"ES4" "ES4" 0.323 0.347 0.076 0.254 "Franco_Argilo_Arenosa" 2 5 1.1 32 0.18 0.06 1.16 10.4 0.32 1.48 10.72 3 78.4 20.6 0.21 1.4 112.4 0.64 0.14
"BS1" "BS1" 0.241 0.574 0.047 0.138 "Franco_Arenosa" 1 4.9 0.9 26 0.06 0.05 1.26 6.1 0.18 1.44 6.28 2.9 87.5 28.7 0.13 0.8 89.2 0.56 0.074
"BS2" "BS2" 0.301 0.345 0.167 0.188 "Franco_Arenosa" 2 4.85 1.3 49 0.1 0.06 1.84 7.4 0.29 2.13 7.69 3.8 86.4 27.2 0.23 0.7 118.8 0.63 0.1
"MS1" "MS1" 0.278 0.36 0.142 0.22 "Franco_Argilo_Arenosa" 2 5 2.1 51 0.22 0.12 2.52 11.8 0.47 2.99 12.27 3.8 84.3 21.6 0.34 2 64 0.81 0.157
"MS2" "MS2" 0.456 0.267 0.061 0.215 "Franco_Argilo_Arenosa" 1 4.94 2 38 0.05 0.08 2.13 9.1 0.23 2.36 9.33 2.5 90.3 22.7 0.15 1.3 71.7 0.46 0.107
